GE;GERU;RU;POS;LEVEL;TOPIC1;TOPIC2;TOPIC3;IMAGE_FILE;EOL
ყავა;КАВА;КОФЕ;NOUN;1;MEAL;;;coffee.png;
საფულე;САПУЛЭ;КОШЕЛЕК;NOUN;1;LIFE;;;wallet.png;
ჯიგარი;ДЖИГАРИ;КРАСАВЧИК! КРУТАН!;NOUN;1;RELATIONSHIPS;;;cool_guy.png;
ლამაზი;ЛАМАЗИ;КРАСИВЫЙ;ADJECTIVE;1;BODYFEELINGS;;;;
წითელი;ЦИТЭЛИ;КРАСНЫЙ;ADJECTIVE;1;COLOR;;;red.png;
მაგარი;МАГАРИ;КРЕПКИЙ, ТВЕРДЫЙ;ADJECTIVE;1;MISC;;;;
წრე;ЦРЭ;КРУЖОК (ХОББИ);NOUN;1;PLACEDIRECTION;;;circle.png;
მაგარია;МАГАРИА;КРУТО!;ADVERB;1;MISC;;;;
ქათამი;КАТАМИ;КУРИЦА;NOUN;1;NATURE;;;chicken.png;
კიბე;КИБЭ;ЛЕСТНИЦА;NOUN;2;PLACEDIRECTION;;;ladder.png;
ზაფხული;ЗАПХУЛИ;ЛЕТО;NOUN;2;NATURE;;;;
ლიფტი;ЛИПТИ;ЛИФТ;NOUN;2;PLACEDIRECTION;;;elevator.png;
სახე;САХЭ;ЛИЦО;NOUN;1;BODYFEELINGS;;;face.png;
ხახვი;ХАХВИ;ЛУК;NOUN;1;MEAL;;;onion.png;
მთვარე;МТВАРЭ;ЛУНА, МЕСЯЦ;NOUN;1;NATURE;;;moon.png;
უკეთესია;УКЭТЭСИА;ЛУЧШЕ (ЕСТЬ);ADVERB;1;MISC;;;;
საუკეთესო;САУКЭТЭСО;ЛУЧШИЙ;ADJECTIVE;1;MISC;;;;
საყვარელი;САКВАРЭЛИ;ЛЮБИМЫЙ;ADJECTIVE;1;RELATIONSHIPS;;;;
მაღაზია;МАГАЗИА;МАГАЗИН;NOUN;1;LIFE;;;store.png;
პატარა;ПАТАРА;МАЛЕНЬКИЙ;ADJECTIVE;1;MISC;;;;
ჟოლო;ЖОЛО;МАЛИНА;NOUN;1;MEAL;;;raspberry.png;
ცოტა;ЦОТА;МАЛО, НЕСКОЛЬКО;ADVERB;1;MISC;;;;
ბიჭი;БИЧИ;МАЛЬЧИК;NOUN;1;RELATIONSHIPS;;;;
დედა;ДЭДА;МАТЬ;NOUN;1;RELATIONSHIPS;;;;
მანქანა;МАНКАНА;МАШИНА;NOUN;1;LIFE;;;car.png;
თვე;ТВЭ;МЕСЯЦ;NOUN;1;TIMEANDDATE;;;;
მეტრო;МЭТРО;МЕТРО;NOUN;2;LIFE;;;;
მშვიდობა;МШВИДОБА;МИР, СПОКОЙСТВИЕ;NOUN;1;MISC;;;;
ჩემთვისაც;ЧЭМТВИСАЦ;МНЕ ТОЖЕ;PRONOUN;1;RELATIONSHIPS;;;;
ბევრი;БЭВРИ;МНОГО;ADVERB;1;MISC;;;;
შეიძლება;ШЭИДЗЛЭБА;МОЖЕТ БЫТЬ;ADVERB;1;MISC;;;;
ჩემი;ЧЭМИ;МОЙ;PRONOUN;1;RELATIONSHIPS;;;;
ყოჩაღ;КОЧАГ;МОЛОДЕЦ;NOUN;1;RELATIONSHIPS;;;;
რძე;РДЗЭ;МОЛОКО;NOUN;1;MEAL;;;milk.png;
ზღვა;ЗГВА;МОРЕ;NOUN;1;NATURE;;;;
სტაფილო;СТАПИЛО;МОРКОВЬ;NOUN;1;MEAL;;;carrot.png;
ნაყინი;МАКИНИ;МОРОЖЕНОЕ;NOUN;1;MEAL;;;ice_cream.png;
ქმარი;КМАРИ;МУЖ;NOUN;1;RELATIONSHIPS;;;;
კაცი;КАЦИ;МУЖЧИНА;NOUN;1;RELATIONSHIPS;;;;
ჩვენ;ЧВЭН;МЫ;PRONOUN;1;RELATIONSHIPS;;;;
ხორცი;ХОРЦИ;МЯСО;NOUN;1;MEAL;;;meat.png;
ალბათ;АЛБАТ;НАВЕРНОЕ;ADVERB;1;MISC;;;;
ნაღდი;НАГДИ;НАЛИЧНЫЕ;NOUN;1;LIFE;;;cash.png;
სასმელი;САСМЭЛИ;НАПИТОК;NOUN;1;MEAL;;;drink.png;
მაგალითად;МАГАЛИТАД;НАПРИМЕР;ADJECTIVE;1;MISC;;;;
დასაწყისი;ДАСАЦКИЛИ;НАЧАЛО;NOUN;2;PLACEDIRECTION;;;;
ჩვენი;ЧВЭНИ;НАШЕ;PRONOUN;1;RELATIONSHIPS;;;;
არც ისე;АРЦ ИСЭ;НЕ ТАК УЖ...;ADVERB;1;MISC;;;;
ცა;ЦА;НЕБО;NOUN;1;NATURE;;;sky.png;
კვირა;КВИРА;НЕДЕЛЯ;NOUN;1;TIMEANDDATE;;;;
საცვალი;САЦВАЛИ;НИЖНЕЕ БЕЛЬЕ;NOUN;1;BODYFEELINGS;;;underwear.png;
არასოდეს;АРАСОДЭС;НИКОГДА;ADVERB;1;TIMEANDDATE;;;;
არავინ;АРАВИН;НИКТО;PRONOUN;1;RELATIONSHIPS;;;;
არსად;АРСАД;НИКУДА;ADVERB;2;PLACEDIRECTION;;;;
არაფერი;АРАПЭРИ;НИЧЕГО;PRONOUN;1;RELATIONSHIPS;;;;
საახალწელი;СААХАЛЦЭЛИ;НОВОГОДНИЙ;ADJECTIVE;1;TIMEANDDATE;;;;
ახალი;АХАЛИ;НОВЫЙ;ADJECTIVE;1;TIMEANDDATE;;;;
ფეხი;ПЭХИ;НОГА;NOUN;1;BODYFEELINGS;;;leg.png;
ცხვირი;ЦХВИРИ;НОС;NOUN;1;BODYFEELINGS;;;nose.png;
ღამე;ГАМЭ;НОЧЬ;NOUN;1;TIMEANDDATE;;;night.png;
ღრუბელი;ГРУБЭЛИ;ОБЛАКО;NOUN;1;NATURE;;;cloud.png;
ფეხსაცმელი;ПЭХСАЦМЭЛИ;ОБУВЬ;NOUN;1;BODYFEELINGS;;;footwear.png;
აუცილებლად;АУЦИЛЭБЛАД;ОБЯЗАТЕЛЬНО;ADVERB;1;MISC;;;;
ბოსტნეული;БОСТНЭУЛИ;ОВОЩИ;NOUN;1;MEAL;;;vegetables.png;
კიტრი;КИТРИ;ОГУРЕЦ;NOUN;1;MEAL;;;;
ტანსაცმელი;ТАНСАЦМЭЛИ;ОДЕЖДА;NOUN;1;BODYFEELINGS;;;cloths.png;
მარტო;МАРТО;ОДИН (БЕЗ КОМПАНИИ);ADJECTIVE;1;MISC;;;;
ის;ИС;ОН(А/О);PRONOUN;1;RELATIONSHIPS;;;;
ისინი;ИСИНИ;ОНИ;PRONOUN;1;RELATIONSHIPS;;;;
ნარინჯისფერი;НАРИНДЖИСПЭРИ;ОРАНЖЕВЫЙ;ADJECTIVE;1;COLOR;;;orange_color.png;
შემოდგომა;ШЕМОДГОМА;ОСЕНЬ;NOUN;2;NATURE;;;;
მამა;МАМА;ОТЕЦ;NOUN;1;RELATIONSHIPS;;;;
ძალიან;ДЗАЛИАН;ОЧЕНЬ, СЛИШКОМ;ADVERB;1;MISC;;;;
სათვალე;САТВАЛЭ;ОЧКИ;NOUN;1;BODYFEELINGS;;;glasses.png;
პაკეტი;ПАКЭТИ;ПАЧКА;NOUN;1;MISC;;;pack.png;
მომიკითხე;МОМИКИТХЭ;ПЕРЕДАВАЙ ПРИВЕТ;VERB;1;RELATIONSHIPS;;;;
პილპილი;ПИЛПИЛИ;ПЕРЕЦ;NOUN;1;MEAL;;;pepper.png;
წიწაკა;ЦИЦАКА;ПЕРЕЦ;NOUN;1;MEAL;;;red_pepper.png;
ატამი;АТАМИ;ПЕРСИК;NOUN;1;MEAL;;;peach.png;
ლუდი;ЛУДИ;ПИВО;NOUN;1;MEAL;;;beer.png;
ნამცხვარი;НАМЦХВАРИ;ПИРОЖНОЕ;NOUN;1;MEAL;;;cake.png;
გეგმა;ГЭГМА;ПЛАН;NOUN;1;LIFE;;;plan.png;
ცუდად;ЦУДАД;ПЛОХО;ADVERB;1;BODYFEELINGS;;;;
